Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;A4:0C:C3:D0:63:C0;;1;No;OPN,None;No;-1.0;0;0;0;204;0;0;204;;;Thu Jun  9 20:29:49 2016;Fri Jun 10 13:03:50 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;;A4:0C:C3:90:46:00;;6;No;OPN,None;No;-1.0;0;0;0;316;0;0;316;;;Thu Jun  9 20:24:47 2016;Fri Jun 10 13:02:06 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.214.32.1;
3;infrastructure;;00:25:84:24:46:F0;;1;No;OPN,None;No;-1.0;0;0;0;111;0;0;111;;;Thu Jun  9 20:21:38 2016;Fri Jun 10 12:57:19 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;UNL-AIR;00:25:84:24:45:30;;6;No;OPN,None;No;54.0;0;1;0;109;0;0;109;;;Thu Jun  9 20:18:30 2016;Fri Jun 10 12:54:31 2016;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.214.33.128;
5;infrastructure;UNL-Conference;00:25:84:24:45:34;;6;No;OPN,None;No;54.0;0;3;0;0;0;0;0;;;Fri Jun 10 11:11:06 2016;Fri Jun 10 12:06:15 2016;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;linksys;00:22:6B:92:3B:17;;6;No;WPA,TKIP;No;54.0;0;90;0;0;0;0;0;;;Thu Jun  9 22:30:38 2016;Fri Jun 10 12:03:18 2016;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;;A4:0C:C3:96:A7:BF;;10;No;None;No;-1.0;0;0;0;0;0;0;0;;;Fri Jun 10 11:43:19 2016;Fri Jun 10 11:43:19 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;;A4:0C:C3:96:A3:40;;6;No;OPN,None;No;-1.0;0;0;0;5;0;0;5;;;Fri Jun 10 03:47:30 2016;Fri Jun 10 11:27:30 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;;A4:0C:C3:90:46:01;;1;No;OPN,None;No;-1.0;0;0;0;5;0;0;5;;;Fri Jun 10 10:00:07 2016;Fri Jun 10 10:00:07 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;;00:26:3E:A4:1D:40;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Fri Jun 10 02:53:53 2016;Fri Jun 10 03:05:16 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;;94:10:3E:E4:4B:74;;10;No;None;No;-1.0;0;0;0;0;0;0;0;;;Fri Jun 10 00:40:42 2016;Fri Jun 10 00:40:43 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;;5C:D9:98:65:71:30;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Thu Jun  9 22:51:57 2016;Thu Jun  9 22:52:18 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;;A4:0C:C3:96:A8:15;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Thu Jun  9 22:05:03 2016;Thu Jun  9 22:05:03 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;;A4:0C:C3:96:AC:30;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Thu Jun  9 21:07:44 2016;Thu Jun  9 21:07:44 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;;00:17:DF:AA:FB:10;;11;No;None;No;-1.0;0;0;0;0;0;0;0;;;Thu Jun  9 21:11:47 2016;Thu Jun  9 21:11:47 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;;84:1B:5E:86:AC:C9;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Thu Jun  9 22:51:12 2016;Thu Jun  9 22:51:12 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;DIRECT-XH-VIZIOTV;02:6B:9E:AE:FB:B4;;1;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Thu Jun  9 22:51:25 2016;Thu Jun  9 22:53:33 2016;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;;00:25:9C:38:08:9D;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Thu Jun  9 22:44:43 2016;Thu Jun  9 22:53:58 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;;00:23:04:30:A9:10;;11;No;OPN,None;No;-1.0;0;0;0;14;0;0;14;;;Thu Jun  9 21:56:45 2016;Thu Jun  9 23:06:35 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.214.34.126;
20;infrastructure;;A4:0C:C3:90:46:05;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Thu Jun  9 20:58:47 2016;Thu Jun  9 23:17:32 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;;C0:AC:54:6A:46:4E;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Fri Jun 10 01:39:47 2016;Fri Jun 10 01:39:47 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;masoud;08:95:2A:56:53:48;;1;No;WPA2,AES-CCM;No;54.0;0;0;0;0;0;0;0;;;Thu Jun  9 20:35:17 2016;Fri Jun 10 09:34:13 2016;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;Waterloo841;78:71:9C:94:F3:10;;11;No;WPA2,AES-CCM;No;54.0;0;4414;0;3;0;0;3;;;Thu Jun  9 20:25:45 2016;Fri Jun 10 09:34:20 2016;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;;A4:0C:C3:90:48:11;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Fri Jun 10 10:03:33 2016;Fri Jun 10 10:03:33 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;;B4:E9:B0:9E:5E:00;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Thu Jun  9 20:56:38 2016;Fri Jun 10 10:21:57 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;;B4:E9:B0:9E:57:F0;;6;No;OPN,None;No;-1.0;0;0;0;9;0;0;9;;;Thu Jun  9 23:41:24 2016;Fri Jun 10 10:31:24 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
27;infrastructure;MurrayWifi;F0:AB:54:12:F2:F8;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;4;0;0;0;0;0;;;Fri Jun 10 10:33:20 2016;Fri Jun 10 10:33:44 2016;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
28;infrastructure;;A4:0C:C3:90:48:10;;6;No;OPN,None;No;-1.0;0;0;0;1;0;0;1;;;Thu Jun  9 22:27:42 2016;Fri Jun 10 10:57:12 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
29;infrastructure;Interwebs ;6C:B0:CE:36:31:45;;9;No;WPA2,AES-CCM;No;54.0;0;6;0;12;0;0;12;;;Fri Jun 10 02:23:29 2016;Fri Jun 10 11:09:09 2016;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
30;infrastructure;;00:24:B2:04:7D:DA;;11;No;None;No;-1.0;0;0;0;0;0;0;0;;;Fri Jun 10 11:02:46 2016;Fri Jun 10 12:22:24 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
31;infrastructure;;00:17:DF:AA:FB:15;;11;No;WPA,None;No;-1.0;0;0;0;2;0;0;2;;;Fri Jun 10 12:29:10 2016;Fri Jun 10 12:29:59 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
32;infrastructure;apple001;EC:26:CA:74:9E:E4;;6;No;WPA2,WPA,AES-CCM;No;54.0;0;81;0;0;0;0;0;;;Thu Jun  9 22:48:55 2016;Fri Jun 10 12:36:10 2016;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
33;infrastructure;;A4:0C:C3:96:A3:E0;;11;No;OPN,None;No;-1.0;0;0;0;180;0;0;180;;;Thu Jun  9 21:05:21 2016;Fri Jun 10 12:56:21 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
34;infrastructure;;A4:0C:C3:96:A7:B0;;6;No;OPN,None;No;-1.0;0;0;0;9;0;0;9;;;Thu Jun  9 20:21:30 2016;Fri Jun 10 13:01:09 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
35;infrastructure;Chromecast8142;FA:8F:CA:93:9C:68;;6;No;OPN,None;No;54.0;0;707;0;0;0;0;0;;;Thu Jun  9 20:35:42 2016;Fri Jun 10 13:02:36 2016;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
36;infrastructure;Huskers;B0:C2:87:4D:32:2F;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;315;0;54;0;0;54;;;Thu Jun  9 20:26:28 2016;Fri Jun 10 13:03:25 2016;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
37;infrastructure;;00:25:84:24:77:E0;;6;No;OPN,None;No;-1.0;0;0;0;167;0;0;167;;;Thu Jun  9 20:30:52 2016;Fri Jun 10 13:03:46 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
38;infrastructure;sys-link;00:1D:7E:42:14:CB;;6;No;WPA2,TKIP;No;54.0;0;18055;0;46;0;0;46;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:14 2016;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
39;infrastructure;TimDonahue;08:95:2A:58:3F:8A;;1;No;WPA2,AES-CCM;No;54.0;0;3500;0;0;0;0;0;;;Thu Jun  9 20:16:37 2016;Fri Jun 10 13:04:15 2016;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
40;infrastructure;UNL-AIR-E;A4:0C:C3:96:A3:71;;11;No;WPA2,AES-CCM;No;54.0;0;31364;0;70;0;0;70;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
41;infrastructure;UNL-AIR;A4:0C:C3:D0:6F:80;;6;No;OPN,None;No;54.0;0;31916;0;840;0;0;840;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.214.32.198;
42;infrastructure;UNL-AIR-E;A4:0C:C3:D0:6F:81;;6;No;WPA2,AES-CCM;No;54.0;0;31929;0;0;0;0;0;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
43;infrastructure;UNL-Conference;A4:0C:C3:96:A1:44;;6;No;OPN,None;No;54.0;0;29889;0;0;0;0;0;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
44;infrastructure;UNL-Wireless-Registration;A4:0C:C3:96:A3:73;;11;No;OPN,None;No;54.0;0;31277;0;0;0;0;0;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:14 2016;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
45;infrastructure;UNL-AIR;A4:0C:C3:96:A3:70;;11;No;OPN,None;No;54.0;0;31253;0;4691;0;0;4691;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.214.32.32;
46;infrastructure;UNL-Conference;A4:0C:C3:D0:6F:84;;6;No;OPN,None;No;54.0;0;31893;0;0;0;0;0;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
47;infrastructure;UNL-Guest;A4:0C:C3:D0:6F:82;;6;No;OPN,None;No;54.0;0;32000;0;65;0;0;65;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.210.236.47;
48;infrastructure;UNL-Wireless-Registration;A4:0C:C3:D0:6F:83;;6;No;OPN,None;No;54.0;0;31876;0;0;0;0;0;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
49;infrastructure;eduroam;A4:0C:C3:96:A3:75;;11;No;WPA2,AES-CCM;No;54.0;0;31207;0;72;0;0;72;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:14 2016;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
50;infrastructure;UNL-AIR;A4:0C:C3:96:A1:40;;6;No;OPN,None;No;54.0;0;29872;0;530;0;0;530;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.214.32.198;
51;infrastructure;eduroam;A4:0C:C3:96:A1:45;;6;No;WPA2,AES-CCM;No;54.0;0;29541;0;52;0;0;52;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:14 2016;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
52;infrastructure;UNL-Conference;A4:0C:C3:96:A3:74;;11;No;OPN,None;No;54.0;0;31236;0;0;0;0;0;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
53;infrastructure;UNL-Guest;A4:0C:C3:96:A3:72;;11;No;OPN,None;No;54.0;0;31446;0;0;0;0;0;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
54;infrastructure;UNL-AIR-E;A4:0C:C3:96:A1:41;;6;No;WPA2,AES-CCM;No;54.0;0;29572;0;0;0;0;0;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
55;infrastructure;;00:00:00:00:00:00;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Thu Jun  9 20:15:54 2016;Fri Jun 10 13:04:14 2016;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
56;infrastructure;UNL-AIR;A4:0C:C3:96:9D:40;;11;No;OPN,None;No;54.0;0;32479;0;2120;0;0;2120;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.214.32.113;
57;infrastructure;eduroam;A4:0C:C3:D0:6F:85;;6;No;WPA2,AES-CCM;No;54.0;0;31886;0;118;0;0;118;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
58;infrastructure;UNL-Wireless-Registration;A4:0C:C3:96:A1:43;;6;No;OPN,None;No;54.0;0;29576;0;0;0;0;0;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
59;infrastructure;UNL-Guest;A4:0C:C3:96:A1:42;;6;No;OPN,None;No;54.0;0;29709;0;0;0;0;0;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:14 2016;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
60;infrastructure;UNL-Conference;A4:0C:C3:96:9D:44;;11;No;OPN,None;No;54.0;0;32522;0;0;0;0;0;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
61;infrastructure;eduroam;A4:0C:C3:96:9D:45;;11;No;WPA2,AES-CCM;No;54.0;0;32323;0;5;0;0;5;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
62;infrastructure;UNL-Wireless-Registration;A4:0C:C3:96:9D:43;;11;No;OPN,None;No;54.0;0;32464;0;0;0;0;0;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
63;infrastructure;UNL-AIR-E;A4:0C:C3:96:9D:41;;11;No;WPA2,AES-CCM;No;54.0;0;32432;0;38;0;0;38;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
64;infrastructure;UNL-Guest;A4:0C:C3:96:9D:42;;11;No;OPN,None;No;54.0;0;32453;0;0;0;0;0;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
