Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
65;infrastructure;UNL-AIR-E;A4:0C:C3:90:4F:F1;;1;No;WPA2,AES-CCM;No;54.0;0;28975;0;9;0;0;9;;;Thu Jun  9 20:15:51 2016;Fri Jun 10 13:04:19 2016;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
66;infrastructure;UNL-AIR;A4:0C:C3:90:4F:F0;;1;No;OPN,None;No;54.0;0;29180;0;1446;0;0;1446;;;Thu Jun  9 20:15:47 2016;Fri Jun 10 13:04:19 2016;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.214.32.1;
67;infrastructure;eduroam;A4:0C:C3:90:4F:F5;;1;No;WPA2,AES-CCM;No;54.0;0;28926;0;41;0;0;41;;;Thu Jun  9 20:15:46 2016;Fri Jun 10 13:04:19 2016;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
68;infrastructure;UNL-Guest;A4:0C:C3:90:4F:F2;;1;No;OPN,None;No;54.0;0;29148;0;0;0;0;0;;;Thu Jun  9 20:15:47 2016;Fri Jun 10 13:04:19 2016;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
69;infrastructure;UNL-Wireless-Registration;A4:0C:C3:90:4F:F3;;1;No;OPN,None;No;54.0;0;28716;0;0;0;0;0;;;Thu Jun  9 20:15:51 2016;Fri Jun 10 13:04:19 2016;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
70;infrastructure;UNL-Conference;A4:0C:C3:90:4F:F4;;1;No;OPN,None;No;54.0;0;28929;0;0;0;0;0;;;Thu Jun  9 20:15:47 2016;Fri Jun 10 13:04:19 2016;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
71;infrastructure;UNL-Guest;AC:A0:16:CB:54:82;;11;No;OPN,None;No;54.0;0;33340;0;0;0;0;0;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-49;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
72;infrastructure;eduroam;AC:A0:16:CB:54:85;;11;No;WPA2,AES-CCM;No;54.0;0;33294;0;6008;0;0;6008;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-49;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
73;infrastructure;UNL-Wireless-Registration;AC:A0:16:CB:54:83;;11;No;OPN,None;No;54.0;0;33220;0;0;0;0;0;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:14 2016;-49;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
74;infrastructure;UNL-AIR;AC:A0:16:CB:54:80;;11;No;OPN,None;No;54.0;0;33353;0;27078;0;0;27078;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-48;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.214.33.9;
75;infrastructure;UNL-AIR-E;AC:A0:16:CB:54:81;;11;No;WPA2,AES-CCM;No;54.0;0;33299;0;190;0;0;190;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-48;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
76;infrastructure;UNL-Conference;AC:A0:16:CB:54:84;;11;No;OPN,None;No;54.0;0;33341;0;0;0;0;0;;;Thu Jun  9 20:15:50 2016;Fri Jun 10 13:04:18 2016;-48;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
77;infrastructure;HPC50152;02:26:96:01:C7:FC;;10;No;OPN,None;No;11.0;0;23065;0;13;0;0;13;;;Thu Jun  9 20:15:49 2016;Fri Jun 10 13:04:13 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;

