Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;UNL-Wireless-Registration;A4:0C:C3:90:4F:F3;;1;No;OPN,None;No;54.0;0;27;0;0;0;0;0;;;Thu Jun  9 20:07:54 2016;Thu Jun  9 20:15:01 2016;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;eduroam;A4:0C:C3:96:A3:75;;11;No;WPA2,AES-CCM;No;54.0;0;68;0;0;0;0;0;;;Thu Jun  9 20:07:53 2016;Thu Jun  9 20:14:35 2016;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;UNL-Wireless-Registration;A4:0C:C3:96:A3:73;;11;No;OPN,None;No;54.0;0;71;0;0;0;0;0;;;Thu Jun  9 20:08:05 2016;Thu Jun  9 20:14:39 2016;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;UNL-AIR;A4:0C:C3:96:A3:70;;11;No;OPN,None;No;54.0;0;66;0;5;0;0;5;;;Thu Jun  9 20:07:53 2016;Thu Jun  9 20:14:35 2016;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.214.47.254;
5;infrastructure;UNL-AIR-E;A4:0C:C3:96:A3:71;;11;No;WPA2,AES-CCM;No;54.0;0;81;0;0;0;0;0;;;Thu Jun  9 20:08:01 2016;Thu Jun  9 20:15:01 2016;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;sys-link;00:1D:7E:42:14:CB;;6;No;WPA2,TKIP;No;54.0;0;24;0;0;0;0;0;;;Thu Jun  9 20:08:27 2016;Thu Jun  9 20:14:40 2016;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;;00:00:00:00:00:00;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Thu Jun  9 20:08:18 2016;Thu Jun  9 20:13:37 2016;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;;A4:0C:C3:90:46:00;;6;No;OPN,None;No;-1.0;0;0;0;2;0;0;2;;;Thu Jun  9 20:12:47 2016;Thu Jun  9 20:12:47 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;;A4:0C:C3:D0:63:C0;;1;No;OPN,None;No;-1.0;0;0;0;2;0;0;2;;;Thu Jun  9 20:07:49 2016;Thu Jun  9 20:07:49 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;TimDonahue;08:95:2A:58:3F:8A;;1;No;WPA2,AES-CCM;No;54.0;0;0;0;0;0;0;0;;;Thu Jun  9 20:11:11 2016;Thu Jun  9 20:12:18 2016;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;;00:25:84:24:77:E0;;6;No;OPN,None;No;-1.0;0;0;0;2;0;0;2;;;Thu Jun  9 20:11:52 2016;Thu Jun  9 20:14:32 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;UNL-Conference;A4:0C:C3:96:A3:74;;11;No;OPN,None;No;54.0;0;80;0;0;0;0;0;;;Thu Jun  9 20:07:53 2016;Thu Jun  9 20:15:01 2016;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;UNL-Guest;A4:0C:C3:96:A3:72;;11;No;OPN,None;No;54.0;0;82;0;0;0;0;0;;;Thu Jun  9 20:08:05 2016;Thu Jun  9 20:14:44 2016;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;eduroam;A4:0C:C3:D0:6F:85;;6;No;WPA2,AES-CCM;No;54.0;0;223;0;0;0;0;0;;;Thu Jun  9 20:07:53 2016;Thu Jun  9 20:15:01 2016;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;UNL-Wireless-Registration;A4:0C:C3:D0:6F:83;;6;No;OPN,None;No;54.0;0;227;0;0;0;0;0;;;Thu Jun  9 20:07:53 2016;Thu Jun  9 20:15:01 2016;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;UNL-AIR-E;A4:0C:C3:D0:6F:81;;6;No;WPA2,AES-CCM;No;54.0;0;221;0;0;0;0;0;;;Thu Jun  9 20:07:53 2016;Thu Jun  9 20:15:01 2016;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;UNL-Guest;A4:0C:C3:D0:6F:82;;6;No;OPN,None;No;54.0;0;225;0;0;0;0;0;;;Thu Jun  9 20:07:53 2016;Thu Jun  9 20:15:01 2016;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;UNL-AIR;A4:0C:C3:D0:6F:80;;6;No;OPN,None;No;54.0;0;225;0;8;0;0;8;;;Thu Jun  9 20:07:53 2016;Thu Jun  9 20:15:01 2016;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;UNL-Conference;A4:0C:C3:D0:6F:84;;6;No;OPN,None;No;54.0;0;218;0;0;0;0;0;;;Thu Jun  9 20:07:53 2016;Thu Jun  9 20:15:01 2016;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;UNL-AIR-E;A4:0C:C3:96:A1:41;;6;No;WPA2,AES-CCM;No;54.0;0;227;0;1;0;0;1;;;Thu Jun  9 20:07:53 2016;Thu Jun  9 20:15:01 2016;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;eduroam;A4:0C:C3:96:9D:45;;11;No;WPA2,AES-CCM;No;54.0;0;210;0;0;0;0;0;;;Thu Jun  9 20:07:53 2016;Thu Jun  9 20:15:01 2016;-59;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;eduroam;A4:0C:C3:96:A1:45;;6;No;WPA2,AES-CCM;No;54.0;0;219;0;0;0;0;0;;;Thu Jun  9 20:07:53 2016;Thu Jun  9 20:15:01 2016;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;UNL-Wireless-Registration;A4:0C:C3:96:A1:43;;6;No;OPN,None;No;54.0;0;221;0;0;0;0;0;;;Thu Jun  9 20:07:53 2016;Thu Jun  9 20:15:01 2016;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
