Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
17;infrastructure;UNL-Wireless-Registration;A4:0C:C3:D0:6F:83;;6;No;OPN,None;No;54.0;0;70;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:38 2016;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;UNL-AIR-E;A4:0C:C3:D0:6F:81;;6;No;WPA2,AES-CCM;No;54.0;0;71;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:38 2016;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;eduroam;A4:0C:C3:D0:6F:85;;6;No;WPA2,AES-CCM;No;54.0;0;69;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:38 2016;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;UNL-Conference;A4:0C:C3:D0:6F:84;;6;No;OPN,None;No;54.0;0;68;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:38 2016;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;UNL-Guest;A4:0C:C3:D0:6F:82;;6;No;OPN,None;No;54.0;0;78;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:38 2016;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;UNL-Wireless-Registration;A4:0C:C3:96:A1:43;;6;No;OPN,None;No;54.0;0;73;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:38 2016;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;UNL-Guest;A4:0C:C3:96:A1:42;;6;No;OPN,None;No;54.0;0;75;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:38 2016;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;UNL-Conference;A4:0C:C3:96:A1:44;;6;No;OPN,None;No;54.0;0;76;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:38 2016;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;eduroam;A4:0C:C3:96:A1:45;;6;No;WPA2,AES-CCM;No;54.0;0;74;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:38 2016;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;UNL-AIR-E;A4:0C:C3:96:A1:41;;6;No;WPA2,AES-CCM;No;54.0;0;77;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:38 2016;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
