Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;NETGEAR41;74:44:01:9E:3E:A6;;2;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Thu Jun  9 19:49:36 2016;Thu Jun  9 20:04:51 2016;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;;A4:0C:C3:90:46:00;;1;No;OPN,None;No;-1.0;0;0;0;3;0;0;3;;;Thu Jun  9 19:50:47 2016;Thu Jun  9 20:03:27 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;;A4:0C:C3:D0:63:C1;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Thu Jun  9 20:00:31 2016;Thu Jun  9 20:00:48 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;;00:25:84:24:77:E0;;6;No;OPN,None;No;-1.0;0;0;0;2;0;0;2;;;Thu Jun  9 19:59:52 2016;Thu Jun  9 19:59:52 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;;B4:E9:B0:9E:5E:00;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Thu Jun  9 19:47:17 2016;Thu Jun  9 19:49:52 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;;A4:0C:C3:D0:63:C0;;1;No;OPN,None;No;-1.0;0;0;0;2;0;0;2;;;Thu Jun  9 19:48:37 2016;Thu Jun  9 19:48:37 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;;EF:BE:48:00:05:00;;5;No;None;No;-1.0;0;0;0;0;0;0;0;;;Thu Jun  9 19:48:23 2016;Thu Jun  9 19:48:28 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;MurrayWifi;F0:AB:54:12:F2:F8;;6;No;WPA2,AES-CCM,TKIP;No;54.0;0;13;0;0;0;0;0;;;Thu Jun  9 19:44:37 2016;Thu Jun  9 19:45:35 2016;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;;94:10:3E:F2:77:B4;;10;No;None;No;-1.0;0;0;0;0;0;0;0;;;Thu Jun  9 19:43:03 2016;Thu Jun  9 19:44:15 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;;A4:0C:C3:96:A3:45;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Thu Jun  9 19:46:30 2016;Thu Jun  9 19:46:30 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
