4C:0B:BE:11:32:C0,Fri Jun 10 01:45:18 2016,Fri Jun 10 01:46:03 2016,Microsoft
A4:81:EE:45:2F:50,Thu Jun 09 22:08:04 2016,Fri Jun 10 01:45:46 2016,Nokia Corporation
B4:18:D1:36:FD:B5,Thu Jun 09 20:18:29 2016,Fri Jun 10 01:39:47 2016,"Apple, Inc."
28:A0:2B:CF:72:07,Thu Jun 09 21:42:22 2016,Fri Jun 10 01:29:10 2016,"Apple, Inc."
CC:20:E8:C2:26:90,Thu Jun 09 22:13:47 2016,Fri Jun 10 00:50:58 2016,"Apple, Inc."
52:90:89:FF:1B:72,Fri Jun 10 00:50:59 2016,Fri Jun 10 00:50:59 2016,Unknown
AE:2F:0D:95:0C:52,Fri Jun 10 00:43:34 2016,Fri Jun 10 00:43:34 2016,Unknown
B8:44:D9:29:58:1F,Fri Jun 10 00:41:47 2016,Fri Jun 10 00:41:58 2016,"Apple, Inc."
1C:99:4C:5D:C8:E1,Fri Jun 10 00:17:02 2016,Fri Jun 10 00:19:36 2016,"Murata Manufacturing Co., Ltd."
C8:69:CD:8B:2A:90,Thu Jun 09 21:32:28 2016,Fri Jun 10 00:16:48 2016,"Apple, Inc."
7A:27:71:48:66:CA,Fri Jun 10 00:07:46 2016,Fri Jun 10 00:07:46 2016,Unknown
6C:40:08:BE:1E:0C,Thu Jun 09 21:20:02 2016,Fri Jun 10 00:02:01 2016,"Apple, Inc."
CC:FA:00:EB:86:66,Thu Jun 09 23:43:22 2016,Thu Jun 09 23:46:39 2016,LG Electronics
00:23:4E:85:DE:60,Thu Jun 09 20:38:50 2016,Thu Jun 09 23:36:58 2016,"Hon Hai Precision Ind. Co.,Ltd."
B4:8B:19:36:B4:41,Thu Jun 09 23:25:12 2016,Thu Jun 09 23:25:34 2016,"Apple, Inc."
2C:33:7A:F2:B8:EF,Thu Jun 09 22:01:25 2016,Thu Jun 09 23:21:51 2016,"Hon Hai Precision Ind. Co.,Ltd."
90:B6:86:36:24:B8,Thu Jun 09 23:10:31 2016,Thu Jun 09 23:13:13 2016,"Murata Manufacturing Co., Ltd."
74:75:48:10:30:A0,Thu Jun 09 23:12:42 2016,Thu Jun 09 23:12:49 2016,Amazon Technologies Inc.
82:62:66:72:75:19,Thu Jun 09 23:07:49 2016,Thu Jun 09 23:07:58 2016,Unknown
34:AB:37:BB:00:42,Thu Jun 09 23:05:24 2016,Thu Jun 09 23:05:37 2016,"Apple, Inc."
58:A2:B5:9E:6D:D6,Thu Jun 09 23:03:28 2016,Thu Jun 09 23:03:49 2016,LG Electronics
B8:78:2E:7D:0E:E5,Thu Jun 09 20:36:28 2016,Thu Jun 09 23:03:12 2016,"Apple, Inc."
6C:40:08:47:3B:BB,Thu Jun 09 23:03:11 2016,Thu Jun 09 23:03:11 2016,"Apple, Inc."
00:27:22:EE:7D:90,Thu Jun 09 20:15:47 2016,Thu Jun 09 22:59:49 2016,Ubiquiti Networks
52:C5:38:41:F4:F4,Thu Jun 09 22:58:50 2016,Thu Jun 09 22:58:50 2016,Unknown
70:EC:E4:82:6D:54,Thu Jun 09 20:18:02 2016,Thu Jun 09 22:58:02 2016,"Apple, Inc."
10:A5:D0:95:43:43,Thu Jun 09 21:05:29 2016,Thu Jun 09 22:56:23 2016,"Murata Manufacturing Co., Ltd."
BC:6C:21:13:2B:BF,Thu Jun 09 22:46:55 2016,Thu Jun 09 22:47:36 2016,"Apple, Inc."
00:56:CD:7C:6C:ED,Thu Jun 09 21:27:22 2016,Thu Jun 09 22:45:11 2016,"Apple, Inc."
00:50:C2:27:00:B3,Thu Jun 09 21:55:51 2016,Thu Jun 09 22:44:02 2016,S4 Technology Pty Ltd
DC:9F:DB:50:51:4B,Thu Jun 09 22:38:09 2016,Thu Jun 09 22:38:13 2016,"Ubiquiti Networks, Inc."
16:C0:12:5F:46:D8,Thu Jun 09 22:36:34 2016,Thu Jun 09 22:36:34 2016,Unknown
B2:52:68:35:18:69,Thu Jun 09 22:32:40 2016,Thu Jun 09 22:32:48 2016,Unknown
66:4D:DC:FA:F9:0F,Thu Jun 09 22:30:47 2016,Thu Jun 09 22:30:47 2016,Unknown
D6:B4:A2:AD:F0:8C,Thu Jun 09 22:30:15 2016,Thu Jun 09 22:30:23 2016,Unknown
9E:F1:AA:E1:14:C6,Thu Jun 09 22:28:42 2016,Thu Jun 09 22:28:50 2016,Unknown
90:B6:86:55:9F:34,Thu Jun 09 22:22:50 2016,Thu Jun 09 22:23:14 2016,"Murata Manufacturing Co., Ltd."
68:72:51:0E:F3:43,Thu Jun 09 21:34:19 2016,Thu Jun 09 22:18:10 2016,Ubiquiti Networks
48:43:7C:67:A8:B9,Thu Jun 09 22:15:47 2016,Thu Jun 09 22:15:47 2016,"Apple, Inc."
68:A8:6D:E2:80:73,Thu Jun 09 22:15:24 2016,Thu Jun 09 22:15:24 2016,"Apple, Inc."
34:23:BA:06:AD:ED,Thu Jun 09 22:13:33 2016,Thu Jun 09 22:15:15 2016,"Samsung Electro Mechanics co.,LTD."
D2:ED:25:C1:9C:08,Thu Jun 09 22:15:03 2016,Thu Jun 09 22:15:03 2016,Unknown
DC:2B:2A:4C:D6:BC,Thu Jun 09 20:20:51 2016,Thu Jun 09 22:13:36 2016,"Apple, Inc."
40:88:05:CB:A8:F3,Thu Jun 09 20:18:16 2016,Thu Jun 09 22:07:58 2016,"Motorola Mobility LLC, a Lenovo Company"
54:4E:90:5A:30:ED,Thu Jun 09 20:56:38 2016,Thu Jun 09 22:06:46 2016,"Apple, Inc."
DA:A1:19:99:A3:E8,Thu Jun 09 22:05:15 2016,Thu Jun 09 22:05:15 2016,"Google, Inc."
FC:C2:DE:8C:90:20,Thu Jun 09 22:04:33 2016,Thu Jun 09 22:04:46 2016,"Murata Manufacturing Co., Ltd."
4C:66:41:04:13:64,Thu Jun 09 22:04:23 2016,Thu Jun 09 22:04:23 2016,SAMSUNG ELECTRO-MECHANICS(THAILAND)
5C:51:88:B3:22:7D,Thu Jun 09 22:02:15 2016,Thu Jun 09 22:03:26 2016,"Motorola Mobility LLC, a Lenovo Company"
C6:3D:F4:C3:30:0E,Thu Jun 09 21:59:10 2016,Thu Jun 09 22:01:25 2016,Unknown
0E:4B:34:DD:66:55,Thu Jun 09 21:58:30 2016,Thu Jun 09 21:59:10 2016,Unknown
68:09:27:33:17:79,Thu Jun 09 20:16:27 2016,Thu Jun 09 21:58:22 2016,"Apple, Inc."
FA:34:B7:C9:E0:B7,Thu Jun 09 21:53:35 2016,Thu Jun 09 21:55:50 2016,Unknown
DA:A1:19:72:C9:41,Thu Jun 09 21:52:38 2016,Thu Jun 09 21:52:38 2016,"Google, Inc."
F8:E0:79:71:BD:1C,Thu Jun 09 21:48:48 2016,Thu Jun 09 21:48:48 2016,"Motorola Mobility LLC, a Lenovo Company"
C6:36:F9:DB:32:F2,Thu Jun 09 21:45:46 2016,Thu Jun 09 21:46:00 2016,Unknown
88:C6:63:D4:EA:CF,Thu Jun 09 21:43:15 2016,Thu Jun 09 21:43:15 2016,"Apple, Inc."
DA:A1:19:24:89:45,Thu Jun 09 21:36:01 2016,Thu Jun 09 21:36:01 2016,"Google, Inc."
E0:C9:7A:17:C7:DC,Thu Jun 09 21:25:03 2016,Thu Jun 09 21:25:13 2016,"Apple, Inc."
DC:9F:DB:50:4F:DA,Thu Jun 09 21:15:48 2016,Thu Jun 09 21:15:48 2016,"Ubiquiti Networks, Inc."
1E:3A:7D:2E:EA:A3,Thu Jun 09 21:14:15 2016,Thu Jun 09 21:14:15 2016,Unknown
64:80:99:C1:B8:B7,Thu Jun 09 20:22:07 2016,Thu Jun 09 21:13:36 2016,Intel Corporate
60:C5:47:AF:CD:55,Thu Jun 09 21:13:09 2016,Thu Jun 09 21:13:10 2016,"Apple, Inc."
84:38:38:8F:FE:4B,Thu Jun 09 21:11:57 2016,Thu Jun 09 21:12:00 2016,"Samsung Electro Mechanics co., LTD."
